fecha,hora,parada,linea,identificadorCoche,esAdaptado,tiempo_min,distancia_km
2025-09-14,07:02:23,7881,123,1222(A),False,59,4.2762232062594006
2025-09-14,07:02:23,7881,153 R,336(A),True,68,2.989287413395079
2025-09-14,07:02:23,7881,120,1198(A),False,90,2.4837439905310585
2025-09-14,07:02:23,7881,153 N,419(A),False,91,8.636697148537811
2025-09-14,07:02:23,5742,122 ROJA,4151,False,13,3.6384833932452745
2025-09-14,07:02:23,5742,122 VERDE,4153,False,28,4.184640185501171
2025-09-14,07:07:31,7881,123,1233(A),False,0,0.3539900278909887
2025-09-14,07:07:31,7881,153 N,326(C),True,0,0.5411115072240054
2025-09-14,07:07:31,7881,120,1195(A),False,8,3.3134465345680697
2025-09-14,07:07:31,7881,153 R,412(A),False,14,4.841318380620318
2025-09-14,07:07:31,7881,153 N,341(A),True,19,4.706183238534861
2025-09-14,07:07:31,7881,120,1205(A),False,32,1.1367104335826554
2025-09-14,07:07:31,7881,153 R,328(C),True,36,3.3492431971528567
